"District","County","Country","District Code","County Code"
"Aberdeen City","","Scotland","S12000033","S99999999"
"Aberdeenshire","","Scotland","S12000034","S99999999"
"","","","",""
"Angus","","Scotland","S12000041","S99999999"
"Moray","","Scotland","S12000020","S99999999"
"Highland","","Scotland","S12000017","S99999999"
"St Albans","Hertfordshire","England","E07000240","E10000015"
"Welwyn Hatfield","Hertfordshire","England","E07000241","E10000015"
"Hertsmere","Hertfordshire","England","E07000098","E10000015"
"Dacorum","Hertfordshire","England","E07000096","E10000015"
"Central Bedfordshire","Bedfordshire","England","E06000056","E11000001"
"North Hertfordshire","Hertfordshire","England","E07000099","E10000015"
"East Hertfordshire","Hertfordshire","England","E07000242","E10000015"
"Birmingham","West Midlands","England","E08000025","E11000018"
"Solihull","West Midlands","England","E08000029","E11000018"
"Bromsgrove","Worcestershire","England","E07000234","E10000034"
"Sandwell","West Midlands","England","E08000028","E11000018"
"Walsall","West Midlands","England","E08000030","E11000018"
"North Warwickshire","Warwickshire","England","E07000218","E10000031"
"Stratford-on-Avon","Warwickshire","England","E07000221","E10000031"
"Wychavon","Worcestershire","England","E07000238","E10000034"
"Dudley","West Midlands","England","E08000027","E11000018"
"Lichfield","Staffordshire","England","E07000194","E10000028"
"Tamworth","Staffordshire","England","E07000199","E10000028"
"North West Leicestershire","Leicestershire","England","E07000134","E10000018"
"Redditch","Worcestershire","England","E07000236","E10000034"
"Warwick","Warwickshire","England","E07000222","E10000031"
"Bath and North East Somerset","Somerset","England","E06000022","E10000027"
"Wiltshire","Wiltshire","England","E06000054","E11000020"
"South Gloucestershire","Gloucestershire","England","E06000025","E10000013"
"South Somerset","Somerset","England","E07000189","E10000027"
"Mendip","Somerset","England","E07000187","E10000027"
"Dorset","Dorset","England","E06000059","E10000009"
"Sedgemoor","Somerset","England","E07000188","E10000027"
"Blackburn with Darwen","Lancashire","England","E06000008","E10000017"
"Hyndburn","Lancashire","England","E07000120","E10000017"
"Rossendale","Lancashire","England","E07000125","E10000017"
"Ribble Valley","Lancashire","England","E07000124","E10000017"
"Burnley","Lancashire","England","E07000117","E10000017"
"Pendle","Lancashire","England","E07000122","E10000017"
"Craven","North Yorkshire","England","E07000163","E10000023"
"Chorley","Lancashire","England","E07000118","E10000017"
"South Ribble","Lancashire","England","E07000126","E10000017"
"Bradford","West Yorkshire","England","E08000032","E11000019"
"Leeds","West Yorkshire","England","E08000035","E11000019"
"Kirklees","West Yorkshire","England","E08000034","E11000019"
"Calderdale","West Yorkshire","England","E08000033","E11000019"
"Harrogate","North Yorkshire","England","E07000165","E10000023"
"Bournemouth, Christchurch and Poole","Dorset","England","E06000058","E10000009"
"New Forest","Hampshire","England","E07000091","E10000014"
"Bury","Greater Manchester","England","E08000002","E11000010"
"Bolton","Greater Manchester","England","E08000001","E11000010"
"Salford","Greater Manchester","England","E08000006","E11000010"
"Rochdale","Greater Manchester","England","E08000005","E11000010"
"Brighton and Hove","East Sussex","England","E06000043","E10000011"
"Mid Sussex","West Sussex","England","E07000228","E10000032"
"Lewes","East Sussex","England","E07000063","E10000011"
"Worthing","West Sussex","England","E07000229","E10000032"
"Horsham","West Sussex","England","E07000227","E10000032"
"Arun","West Sussex","England","E07000224","E10000032"
"Adur","West Sussex","England","E07000223","E10000032"
"Chichester","West Sussex","England","E07000225","E10000032"
"Wealden","East Sussex","England","E07000065","E10000011"
"Eastbourne","East Sussex","England","E07000061","E10000011"
"Rother","East Sussex","England","E07000064","E10000011"
"Bromley","Greater London","England","E09000006","E11000009"
"Lewisham","Greater London","England","E09000023","E11000009"
"Lambeth","Greater London","England","E09000022","E11000009"
"Croydon","Greater London","England","E09000008","E11000009"
"Sevenoaks","Kent","England","E07000111","E10000016"
"Greenwich","Greater London","England","E09000011","E11000009"
"Dartford","Kent","England","E07000107","E10000016"
"North Somerset","Somerset","England","E06000024","E10000027"
"Bristol, City of","Bristol","England","E06000023","E11000003"
"Belfast","","Northern Ireland","N09000003","N99999999"
"Antrim and Newtownabbey","","Northern Ireland","N09000001","N99999999"
"Lisburn and Castlereagh","","Northern Ireland","N09000007","N99999999"
"Ards and North Down","","Northern Ireland","N09000011","N99999999"
"Newry, Mourne and Down","","Northern Ireland","N09000010","N99999999"
"Armagh City, Banbridge and Craigavon","","Northern Ireland","N09000002","N99999999"
"Causeway Coast and Glens","","Northern Ireland","N09000004","N99999999"
"Mid and East Antrim","","Northern Ireland","N09000008","N99999999"
"Mid Ulster","","Northern Ireland","N09000009","N99999999"
"Derry City and Strabane","","Northern Ireland","N09000005","N99999999"
"Fermanagh and Omagh","","Northern Ireland","N09000006","N99999999"
"Carlisle","Cumbria","England","E07000028","E10000006"
"Eden","Cumbria","England","E07000030","E10000006"
"Allerdale","Cumbria","England","E07000026","E10000006"
"Copeland","Cumbria","England","E07000029","E10000006"
"Dumfries and Galloway","","Scotland","S12000006","S99999999"
"Northumberland","Northumberland","England","E06000057","E11000021"
"Cambridge","Cambridgeshire","England","E07000008","E10000003"
"Peterborough","Cambridgeshire","England","E06000031","E10000003"
"South Cambridgeshire","Cambridgeshire","England","E07000012","E10000003"
"Uttlesford","Essex","England","E07000077","E10000012"
"East Cambridgeshire","Cambridgeshire","England","E07000009","E10000003"
