"NUTS2","NUTS1","postcodeDistrict","NUTS218NM","NUTS118NM","Country"
"UKC1","UKC","TS11","Tees Valley and Durham","North East","England"
"UKC1","UKC","DL15","Tees Valley and Durham","North East","England"
"UKC1","UKC","DL12","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS19","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS8","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS13","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS16","Tees Valley and Durham","North East","England"
"UKC1","UKC","DL98","Tees Valley and Durham","North East","England"
"UKC1","UKC","NE39","Tees Valley and Durham","North East","England"
"UKC1","UKC","DH97","Tees Valley and Durham","North East","England"
"UKC1","UKC","DL1","Tees Valley and Durham","North East","England"
"UKC1","UKC","DH98","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS7","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS1","Tees Valley and Durham","North East","England"
"UKC1","UKC","DH99","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS29","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS3","Tees Valley and Durham","North East","England"
"UKC1","UKC","DL5","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS12","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS2","Tees Valley and Durham","North East","England"
"UKC1","UKC","DL4","Tees Valley and Durham","North East","England"
"UKC1","UKC","DL13","Tees Valley and Durham","North East","England"
"UKC1","UKC","DL11","Tees Valley and Durham","North East","England"
"UKC1","UKC","DH6","Tees Valley and Durham","North East","England"
"UKC1","UKC","DL17","Tees Valley and Durham","North East","England"
"UKC1","UKC","DH7","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS6","Tees Valley and Durham","North East","England"
"UKC1","UKC","DL14","Tees Valley and Durham","North East","England"
"UKC1","UKC","DL3","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS25","Tees Valley and Durham","North East","England"
"UKC1","UKC","DH9","Tees Valley and Durham","North East","England"
"UKC1","UKC","SR8","Tees Valley and Durham","North East","England"
"UKC1","UKC","DH3","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS20","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS5","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS24","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS23","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS27","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS14","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS18","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS21","Tees Valley and Durham","North East","England"
"UKC1","UKC","DL16","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS26","Tees Valley and Durham","North East","England"
"UKC1","UKC","DH1","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS10","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS22","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS17","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS4","Tees Valley and Durham","North East","England"
"UKC1","UKC","TS28","Tees Valley and Durham","North East","England"
"UKC2","UKC","NE85","Northumberland and Tyne and Wear","North East","England"
"UKC2","UKC","NE28","Northumberland and Tyne and Wear","North East","England"
"UKC2","UKC","NE19","Northumberland and Tyne and Wear","North East","England"
"UKC2","UKC","NE92","Northumberland and Tyne and Wear","North East","England"
"UKC2","UKC","NE16","Northumberland and Tyne and Wear","North East","England"
"UKC2","UKC","NE45","Northumberland and Tyne and Wear","North East","England"
"UKC2","UKC","NE49","Northumberland and Tyne and Wear","North East","England"
"UKC2","UKC","SR6","Northumberland and Tyne and Wear","North East","England"
"UKC2","UKC","NE71","Northumberland and Tyne and Wear","North East","England"
"UKC2","UKC","NE34","Northumberland and Tyne and Wear","North East","England"
"UKC2","UKC","NE38","Northumberland and Tyne and Wear","North East","England"
"UKC2","UKC","NE2","Northumberland and Tyne and Wear","North East","England"
"UKC2","UKC","NE64","Northumberland and Tyne and Wear","North East","England"
"UKC2","UKC","SR5","Northumberland and Tyne and Wear","North East","England"
"UKC2","UKC","NE67","Northumberland and Tyne and Wear","North East","England"
"UKC2","UKC","NE3","Northumberland and Tyne and Wear","North East","England"
"UKC2","UKC","NE33","Northumberland and Tyne and Wear","North East","England"
